Date/Time,Property,Amb. To Zone 1,Amb. To Zone 3,Amb. To Zone 4 ,Amb. To Zone 2,Zone 3 to Zone 5,Zone 4 to Zone 5,Zone 1 to Zone 6,Zone 5 to Zone 6,Zone 2 to Zone 6,Ward LHS to Zone 6a (22),Zone 6a to Zone 6b(23),Zone 6b to Zone 6c (24),Zone 6c to Ward RHS (25),Zone 7 to Zone 6,Zone 8 to Zone 6,Zone 9 to Zone 6,Zone 10 to Zone 6,Amb. To Zone 7,Amb. To Zone 8,Amb. To Zone 9,Amb. To Zone 10
01/04/2022 00:00,Flow 1 [m^3/min],1.86,0.89,0.89,1.86,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,-13.68,-13.76,-13.60,-13.67,0.89,0.89,0.89,0.89
01/04/2022 00:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,12.21,12.13,12.31,12.24,0.00,0.00,0.00,0.00
01/04/2022 00:30,Flow 1 [m^3/min],1.86,0.89,0.89,1.86,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,-13.70,-13.78,-13.61,-13.68,0.89,0.89,0.89,0.89
01/04/2022 00:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,12.23,12.15,12.33,12.25,0.00,0.00,0.00,0.00
01/04/2022 01:00,Flow 1 [m^3/min],1.86,0.89,0.89,1.86,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,-13.72,-13.79,-13.63,-13.70,0.89,0.89,0.89,0.89
01/04/2022 01:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.88,12.25,12.16,12.35,12.27,0.00,0.00,0.00,0.00
01/04/2022 01:30,Flow 1 [m^3/min],1.86,0.89,0.89,1.86,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.89,-13.71,-13.79,-13.62,-13.69,0.89,0.89,0.89,0.89
01/04/2022 01:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.89,12.24,12.16,12.34,12.26,0.00,0.00,0.00,0.00
01/04/2022 02:00,Flow 1 [m^3/min],1.86,0.89,0.89,1.86,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.89,-13.71,-13.78,-13.62,-13.69,0.89,0.89,0.89,0.89
01/04/2022 02:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,-0.27,-0.27,-1.53,-1.44,-1.53,4.90,2.58,-1.21,-4.89,12.23,12.15,12.34,12.26,0.00,0.00,0.00,0.00
