Date/Time,Property,Amb. To Zone 1,Amb. To Zone 3,Amb. To Zone 4 ,Amb. To Zone 2,Zone 3 to Zone 5,Zone 4 to Zone 5,Zone 1 to Zone 6,Zone 5 to Zone 6,Zone 2 to Zone 6,Ward LHS to Zone 6a (22),Zone 6a to Zone 6b(23),Zone 6b to Zone 6c (24),Zone 6c to Ward RHS (25),Zone 7 to Zone 6,Zone 8 to Zone 6,Zone 9 to Zone 6,Zone 10 to Zone 6,Amb. To Zone 7,Amb. To Zone 8,Amb. To Zone 9,Amb. To Zone 10
01/04/2022 00:00,Flow 1 [m^3/min],-1.80,-1.43,-1.43,-1.80,0.41,0.41,0.52,-0.09,0.52,0.28,0.00,-0.17,0.27,0.36,0.36,0.36,0.36,-0.83,-0.73,-0.96,-0.86
01/04/2022 00:00,Flow 2 [m^3/min],7.75,3.66,3.66,7.75,0.41,0.41,0.52,-0.09,0.52,0.28,0.00,-0.17,0.27,0.36,0.36,0.36,0.36,3.91,3.96,3.85,3.89
01/04/2022 00:30,Flow 1 [m^3/min],-1.74,-1.39,-1.39,-1.74,0.41,0.41,0.52,-0.09,0.52,0.29,0.02,-0.17,0.26,0.35,0.35,0.35,0.35,-0.81,-0.70,-0.94,-0.84
01/04/2022 00:30,Flow 2 [m^3/min],7.69,3.63,3.63,7.69,0.41,0.41,0.52,-0.09,0.52,0.29,0.02,-0.17,0.26,0.35,0.35,0.35,0.35,3.87,3.92,3.81,3.86
01/04/2022 01:00,Flow 1 [m^3/min],-1.67,-1.36,-1.36,-1.67,0.41,0.41,0.52,-0.09,0.52,0.30,0.03,-0.17,0.24,0.35,0.34,0.35,0.35,-0.78,-0.68,-0.91,-0.81
01/04/2022 01:00,Flow 2 [m^3/min],7.62,3.59,3.59,7.62,0.41,0.41,0.52,-0.09,0.52,0.30,0.03,-0.17,0.24,0.35,0.35,0.35,0.35,3.83,3.89,3.77,3.82
01/04/2022 01:30,Flow 1 [m^3/min],-1.78,-1.44,-1.44,-1.78,0.38,0.38,0.48,-0.15,0.48,0.37,0.06,-0.26,0.05,0.31,0.31,0.31,0.31,-0.86,-0.75,-0.99,-0.89
01/04/2022 01:30,Flow 2 [m^3/min],7.66,3.61,3.61,7.66,0.38,0.38,0.48,-0.15,0.48,0.37,0.06,-0.26,0.04,0.31,0.31,0.31,0.31,3.84,3.89,3.78,3.83
01/04/2022 02:00,Flow 1 [m^3/min],-1.85,-1.48,-1.48,-1.85,0.37,0.37,0.48,-0.16,0.48,0.33,0.02,-0.37,-0.13,0.28,0.28,0.28,0.28,-0.93,-0.83,-1.06,-0.96
01/04/2022 02:00,Flow 2 [m^3/min],7.71,3.64,3.64,7.71,0.37,0.37,0.48,-0.16,0.48,0.34,0.02,-0.37,-0.13,0.28,0.28,0.28,0.28,3.85,3.90,3.79,3.84
01/04/2022 02:30,Flow 1 [m^3/min],-1.87,-1.47,-1.47,-1.87,0.40,0.40,0.51,-0.10,0.51,0.33,0.05,-0.34,-0.12,0.25,0.25,0.25,0.25,-1.00,-0.90,-1.14,-1.03
01/04/2022 02:30,Flow 2 [m^3/min],7.81,3.69,3.69,7.81,0.40,0.40,0.51,-0.10,0.51,0.34,0.05,-0.34,-0.12,0.25,0.25,0.25,0.25,3.87,3.92,3.81,3.86
01/04/2022 03:00,Flow 1 [m^3/min],-1.87,-1.45,-1.45,-1.87,0.44,0.44,0.56,-0.02,0.56,0.31,0.08,-0.27,-0.02,0.23,0.23,0.24,0.23,-1.06,-0.96,-1.20,-1.09
01/04/2022 03:00,Flow 2 [m^3/min],7.91,3.75,3.75,7.91,0.44,0.44,0.56,-0.02,0.56,0.31,0.08,-0.27,-0.04,0.23,0.23,0.24,0.23,3.89,3.94,3.84,3.88
01/04/2022 03:30,Flow 1 [m^3/min],-1.90,-1.45,-1.45,-1.90,0.46,0.46,0.59,0.01,0.59,0.27,0.06,-0.21,0.09,0.25,0.25,0.25,0.25,-1.07,-0.96,-1.20,-1.10
01/04/2022 03:30,Flow 2 [m^3/min],7.98,3.79,3.79,7.98,0.46,0.46,0.59,0.01,0.59,0.27,0.06,-0.21,0.08,0.25,0.25,0.25,0.25,3.93,3.99,3.88,3.92
01/04/2022 04:00,Flow 1 [m^3/min],-1.94,-1.47,-1.47,-1.94,0.47,0.47,0.60,0.03,0.60,0.21,0.02,-0.20,0.14,0.27,0.27,0.27,0.27,-1.08,-0.97,-1.21,-1.11
01/04/2022 04:00,Flow 2 [m^3/min],8.05,3.82,3.82,8.05,0.47,0.47,0.60,0.03,0.60,0.22,0.02,-0.20,0.14,0.27,0.27,0.27,0.27,3.97,4.02,3.92,3.96
01/04/2022 04:30,Flow 1 [m^3/min],-1.98,-1.49,-1.49,-1.98,0.46,0.46,0.59,0.02,0.59,0.24,0.04,-0.21,0.11,0.26,0.26,0.26,0.26,-1.10,-0.99,-1.23,-1.13
01/04/2022 04:30,Flow 2 [m^3/min],8.07,3.84,3.84,8.07,0.46,0.46,0.59,0.02,0.59,0.24,0.04,-0.21,0.11,0.26,0.26,0.26,0.26,3.98,4.03,3.93,3.97
01/04/2022 05:00,Flow 1 [m^3/min],-2.01,-1.51,-1.51,-2.01,0.46,0.46,0.59,0.01,0.59,0.26,0.05,-0.22,0.08,0.26,0.26,0.26,0.26,-1.12,-1.01,-1.26,-1.15
01/04/2022 05:00,Flow 2 [m^3/min],8.10,3.85,3.85,8.10,0.46,0.46,0.59,0.01,0.59,0.26,0.05,-0.22,0.07,0.26,0.26,0.26,0.26,3.99,4.04,3.94,3.98
01/04/2022 05:30,Flow 1 [m^3/min],-2.08,-1.57,-1.57,-2.08,0.43,0.43,0.55,-0.05,0.55,0.24,-0.01,-0.34,-0.07,0.26,0.26,0.26,0.26,-1.12,-1.01,-1.26,-1.15
01/04/2022 05:30,Flow 2 [m^3/min],8.08,3.84,3.84,8.08,0.43,0.43,0.55,-0.05,0.55,0.25,-0.01,-0.34,-0.07,0.26,0.26,0.26,0.26,4.00,4.05,3.94,3.99
01/04/2022 06:00,Flow 1 [m^3/min],-2.11,-1.59,-1.59,-2.11,0.41,0.41,0.53,-0.08,0.53,0.21,-0.05,-0.38,-0.10,0.27,0.27,0.27,0.27,-1.11,-1.00,-1.24,-1.14
01/04/2022 06:00,Flow 2 [m^3/min],8.08,3.84,3.84,8.08,0.41,0.41,0.53,-0.08,0.53,0.21,-0.05,-0.38,-0.10,0.27,0.27,0.27,0.27,4.01,4.06,3.96,4.00
01/04/2022 06:30,Flow 1 [m^3/min],-2.09,-1.58,-1.58,-2.09,0.42,0.42,0.54,-0.07,0.54,0.20,-0.06,-0.38,-0.10,0.27,0.27,0.27,0.27,-1.11,-1.00,-1.24,-1.14
01/04/2022 06:30,Flow 2 [m^3/min],8.07,3.84,3.84,8.07,0.42,0.42,0.54,-0.07,0.54,0.20,-0.06,-0.38,-0.11,0.27,0.27,0.27,0.27,4.01,4.06,3.95,3.99
01/04/2022 07:00,Flow 1 [m^3/min],-2.07,-1.57,-1.57,-2.07,0.42,0.42,0.54,-0.06,0.54,0.19,-0.07,-0.39,-0.10,0.27,0.27,0.27,0.27,-1.11,-1.00,-1.24,-1.13
01/04/2022 07:00,Flow 2 [m^3/min],8.07,3.84,3.84,8.07,0.42,0.42,0.54,-0.06,0.54,0.19,-0.07,-0.39,-0.11,0.27,0.27,0.27,0.27,4.00,4.05,3.94,3.99
01/04/2022 07:30,Flow 1 [m^3/min],-2.07,-1.57,-1.57,-2.07,0.42,0.42,0.53,-0.07,0.53,0.25,-0.01,-0.35,-0.09,0.26,0.26,0.26,0.26,-1.11,-1.00,-1.24,-1.14
01/04/2022 07:30,Flow 2 [m^3/min],8.05,3.83,3.83,8.05,0.42,0.42,0.53,-0.07,0.53,0.25,-0.01,-0.35,-0.09,0.26,0.26,0.26,0.26,3.99,4.04,3.93,3.98
01/04/2022 08:00,Flow 1 [m^3/min],-2.08,-1.59,-1.59,-2.08,0.40,0.40,0.52,-0.10,0.52,0.32,0.05,-0.33,-0.08,0.26,0.26,0.26,0.26,-1.11,-1.00,-1.24,-1.13
01/04/2022 08:00,Flow 2 [m^3/min],8.03,3.82,3.82,8.03,0.40,0.40,0.52,-0.10,0.52,0.33,0.05,-0.33,-0.09,0.26,0.26,0.26,0.26,3.98,4.03,3.93,3.97
01/04/2022 08:30,Flow 1 [m^3/min],-2.05,-1.55,-1.55,-2.05,0.42,0.42,0.54,-0.06,0.54,0.15,-0.10,-0.39,-0.08,0.28,0.28,0.28,0.28,-1.07,-0.97,-1.21,-1.10
01/04/2022 08:30,Flow 2 [m^3/min],8.04,3.82,3.82,8.04,0.42,0.42,0.54,-0.06,0.54,0.15,-0.10,-0.39,-0.08,0.28,0.28,0.28,0.28,4.00,4.05,3.94,3.99
01/04/2022 09:00,Flow 1 [m^3/min],-2.04,-1.55,-1.55,-2.04,0.42,0.42,0.54,-0.06,0.54,0.13,-0.12,-0.43,-0.13,0.27,0.27,0.27,0.27,-1.09,-0.98,-1.22,-1.11
01/04/2022 09:00,Flow 2 [m^3/min],8.04,3.82,3.82,8.04,0.43,0.43,0.54,-0.06,0.54,0.13,-0.12,-0.43,-0.13,0.27,0.27,0.27,0.27,3.99,4.04,3.93,3.98
01/04/2022 09:30,Flow 1 [m^3/min],-2.01,-1.53,-1.53,-2.01,0.42,0.42,0.54,-0.06,0.54,0.08,-0.17,-0.47,-0.16,0.28,0.28,0.28,0.28,-1.05,-0.95,-1.19,-1.08
01/04/2022 09:30,Flow 2 [m^3/min],8.00,3.80,3.80,8.00,0.42,0.42,0.54,-0.06,0.54,0.09,-0.17,-0.47,-0.16,0.28,0.28,0.28,0.28,3.97,4.03,3.92,3.96
01/04/2022 10:00,Flow 1 [m^3/min],-1.95,-1.50,-1.50,-1.95,0.43,0.43,0.55,-0.05,0.55,-0.07,-0.31,-0.53,-0.15,0.31,0.31,0.31,0.31,-0.99,-0.88,-1.12,-1.01
01/04/2022 10:00,Flow 2 [m^3/min],7.96,3.78,3.78,7.96,0.43,0.43,0.55,-0.05,0.55,-0.06,-0.31,-0.53,-0.15,0.31,0.31,0.31,0.31,3.97,4.03,3.92,3.96
01/04/2022 10:30,Flow 1 [m^3/min],-1.93,-1.49,-1.49,-1.93,0.43,0.43,0.55,-0.05,0.55,0.03,-0.21,-0.42,-0.03,0.32,0.31,0.32,0.32,-0.97,-0.87,-1.10,-1.00
01/04/2022 10:30,Flow 2 [m^3/min],7.94,3.76,3.76,7.94,0.43,0.43,0.55,-0.05,0.55,0.04,-0.21,-0.42,-0.04,0.32,0.31,0.32,0.32,3.96,4.02,3.91,3.95
01/04/2022 11:00,Flow 1 [m^3/min],-1.91,-1.48,-1.48,-1.91,0.43,0.43,0.55,-0.05,0.55,0.15,-0.10,-0.32,0.06,0.31,0.31,0.31,0.31,-0.97,-0.86,-1.10,-0.99
01/04/2022 11:00,Flow 2 [m^3/min],7.91,3.75,3.75,7.91,0.43,0.43,0.55,-0.05,0.55,0.16,-0.10,-0.32,0.05,0.31,0.31,0.31,0.31,3.95,4.00,3.89,3.94
01/04/2022 11:30,Flow 1 [m^3/min],-1.82,-1.43,-1.43,-1.82,0.42,0.42,0.54,-0.07,0.54,0.22,-0.04,-0.28,0.08,0.31,0.31,0.31,0.31,-0.92,-0.81,-1.05,-0.95
01/04/2022 11:30,Flow 2 [m^3/min],7.80,3.69,3.69,7.80,0.42,0.42,0.54,-0.07,0.54,0.22,-0.04,-0.28,0.07,0.31,0.31,0.31,0.31,3.90,3.95,3.84,3.88
01/04/2022 12:00,Flow 1 [m^3/min],-1.72,-1.38,-1.38,-1.72,0.41,0.41,0.53,-0.08,0.53,0.27,0.01,-0.26,0.09,0.30,0.30,0.31,0.31,-0.87,-0.76,-1.00,-0.90
01/04/2022 12:00,Flow 2 [m^3/min],7.69,3.63,3.63,7.69,0.41,0.41,0.53,-0.08,0.53,0.27,0.01,-0.26,0.09,0.30,0.30,0.31,0.31,3.84,3.89,3.78,3.83
01/04/2022 12:30,Flow 1 [m^3/min],-1.61,-1.32,-1.32,-1.61,0.41,0.41,0.53,-0.08,0.53,0.20,-0.07,-0.34,0.02,0.30,0.30,0.30,0.30,-0.81,-0.71,-0.94,-0.84
01/04/2022 12:30,Flow 2 [m^3/min],7.57,3.57,3.57,7.57,0.41,0.41,0.53,-0.08,0.53,0.20,-0.07,-0.34,-0.02,0.30,0.30,0.30,0.30,3.78,3.83,3.72,3.77
01/04/2022 13:00,Flow 1 [m^3/min],-1.49,-1.26,-1.26,-1.49,0.41,0.41,0.52,-0.08,0.52,0.10,-0.17,-0.44,-0.10,0.30,0.30,0.30,0.30,-0.75,-0.65,-0.88,-0.78
01/04/2022 13:00,Flow 2 [m^3/min],7.45,3.50,3.50,7.45,0.41,0.41,0.53,-0.08,0.53,0.10,-0.17,-0.44,-0.10,0.30,0.30,0.30,0.30,3.72,3.78,3.66,3.71
01/04/2022 13:30,Flow 1 [m^3/min],-1.27,-1.15,-1.15,-1.27,0.40,0.40,0.52,-0.10,0.52,0.14,-0.13,-0.38,0.00,0.32,0.32,0.32,0.32,-0.62,-0.51,-0.74,-0.64
