Date/Time,Property,Amb. To Zone 1,Amb. To Zone 3,Amb. To Zone 4 ,Amb. To Zone 2,Zone 3 to Zone 5,Zone 4 to Zone 5,Zone 1 to Zone 6,Zone 5 to Zone 6,Zone 2 to Zone 6,Ward LHS to Zone 6a (22),Zone 6a to Zone 6b(23),Zone 6b to Zone 6c (24),Zone 6c to Ward RHS (25),Zone 7 to Zone 6,Zone 8 to Zone 6,Zone 9 to Zone 6,Zone 10 to Zone 6,Amb. To Zone 7,Amb. To Zone 8,Amb. To Zone 9,Amb. To Zone 10
01/04/2022 00:00,Flow 1 [m^3/min],-3.29,-2.54,-2.54,-3.29,-0.36,-0.36,-0.47,-1.63,-0.47,-0.65,-1.91,-1.19,0.75,-11.30,-11.34,-11.27,-11.29,1.05,1.12,0.90,1.02
01/04/2022 00:00,Flow 2 [m^3/min],7.26,3.24,3.24,7.26,-0.36,-0.36,-0.47,-1.63,-0.47,-0.65,-1.91,-1.19,0.75,14.48,14.44,14.49,14.48,4.49,4.50,4.49,4.49
01/04/2022 00:30,Flow 1 [m^3/min],-3.18,-2.49,-2.49,-3.18,-0.35,-0.35,-0.45,-1.60,-0.45,-0.63,-1.88,-1.18,0.74,-11.34,-11.39,-11.31,-11.33,1.05,1.12,0.91,1.02
01/04/2022 00:30,Flow 2 [m^3/min],7.18,3.21,3.21,7.18,-0.35,-0.35,-0.45,-1.60,-0.45,-0.63,-1.88,-1.18,0.74,14.47,14.44,14.49,14.48,4.44,4.45,4.44,4.44
01/04/2022 01:00,Flow 1 [m^3/min],-3.07,-2.44,-2.44,-3.07,-0.34,-0.34,-0.44,-1.58,-0.44,-0.61,-1.84,-1.17,0.72,-11.38,-11.43,-11.35,-11.38,1.06,1.12,0.93,1.03
01/04/2022 01:00,Flow 2 [m^3/min],7.10,3.19,3.19,7.10,-0.34,-0.34,-0.44,-1.58,-0.44,-0.61,-1.84,-1.17,0.72,14.47,14.43,14.49,14.47,4.39,4.40,4.39,4.39
01/04/2022 01:30,Flow 1 [m^3/min],-3.03,-2.42,-2.42,-3.03,-0.29,-0.29,-0.38,-1.48,-0.38,-0.50,-1.67,-1.13,0.61,-11.51,-11.54,-11.45,-11.50,0.79,0.87,0.70,0.76
01/04/2022 01:30,Flow 2 [m^3/min],7.19,3.26,3.26,7.19,-0.29,-0.29,-0.38,-1.48,-0.38,-0.50,-1.67,-1.13,0.61,14.36,14.33,14.40,14.37,4.43,4.43,4.42,4.43
01/04/2022 02:00,Flow 1 [m^3/min],-2.91,-2.34,-2.34,-2.91,-0.20,-0.20,-0.26,-1.30,-0.26,-0.44,-1.50,-1.07,0.53,-11.65,-11.71,-11.58,-11.64,0.51,0.55,0.46,0.50
01/04/2022 02:00,Flow 2 [m^3/min],7.30,3.36,3.36,7.30,-0.20,-0.20,-0.26,-1.30,-0.26,-0.44,-1.50,-1.07,0.53,14.23,14.18,14.29,14.24,4.43,4.44,4.42,4.43
01/04/2022 02:30,Flow 1 [m^3/min],-2.40,-1.97,-1.97,-2.40,0.11,0.11,0.13,-0.69,0.13,-0.37,-1.04,-0.76,0.48,-12.05,-12.12,-11.97,-12.04,-0.10,-0.08,-0.13,-0.11
01/04/2022 02:30,Flow 2 [m^3/min],7.57,3.60,3.60,7.57,0.11,0.11,0.13,-0.69,0.13,-0.37,-1.04,-0.76,0.48,13.87,13.82,13.94,13.89,4.29,4.30,4.27,4.28
01/04/2022 03:00,Flow 1 [m^3/min],-2.20,-1.77,-1.77,-2.20,0.25,0.25,0.32,-0.40,0.32,-0.35,-0.82,-0.62,0.46,-12.24,-12.31,-12.16,-12.22,-0.39,-0.37,-0.42,-0.40
01/04/2022 03:00,Flow 2 [m^3/min],7.76,3.70,3.70,7.76,0.25,0.25,0.32,-0.40,0.32,-0.35,-0.82,-0.62,0.46,13.70,13.63,13.77,13.71,4.21,4.22,4.20,4.21
01/04/2022 03:30,Flow 1 [m^3/min],-2.27,-1.82,-1.82,-2.27,0.25,0.25,0.31,-0.41,0.31,-0.42,-0.90,-0.64,0.50,-12.20,-12.26,-12.12,-12.18,-0.37,-0.35,-0.40,-0.38
01/04/2022 03:30,Flow 2 [m^3/min],7.81,3.74,3.74,7.81,0.25,0.25,0.31,-0.41,0.31,-0.42,-0.90,-0.64,0.50,13.73,13.67,13.80,13.74,4.26,4.27,4.25,4.26
01/04/2022 04:00,Flow 1 [m^3/min],-2.37,-1.89,-1.89,-2.37,0.23,0.23,0.29,-0.45,0.29,-0.48,-0.99,-0.67,0.54,-12.14,-12.20,-12.06,-12.12,-0.33,-0.31,-0.36,-0.34
01/04/2022 04:00,Flow 2 [m^3/min],7.85,3.76,3.76,7.85,0.23,0.23,0.29,-0.45,0.29,-0.48,-0.99,-0.67,0.54,13.77,13.71,13.84,13.78,4.33,4.33,4.31,4.32
01/04/2022 04:30,Flow 1 [m^3/min],-2.39,-1.89,-1.89,-2.39,0.23,0.23,0.29,-0.44,0.29,-0.46,-0.96,-0.66,0.53,-12.15,-12.22,-12.07,-12.13,-0.37,-0.35,-0.40,-0.38
01/04/2022 04:30,Flow 2 [m^3/min],7.89,3.78,3.78,7.89,0.23,0.23,0.29,-0.44,0.29,-0.46,-0.96,-0.66,0.53,13.75,13.69,13.82,13.76,4.33,4.34,4.32,4.33
01/04/2022 05:00,Flow 1 [m^3/min],-2.41,-1.90,-1.90,-2.41,0.24,0.24,0.30,-0.43,0.30,-0.44,-0.93,-0.65,0.51,-12.16,-12.23,-12.08,-12.15,-0.41,-0.39,-0.43,-0.41
01/04/2022 05:00,Flow 2 [m^3/min],7.92,3.80,3.80,7.92,0.24,0.24,0.30,-0.43,0.30,-0.43,-0.93,-0.65,0.51,13.73,13.67,13.80,13.74,4.33,4.34,4.32,4.33
01/04/2022 05:30,Flow 1 [m^3/min],-2.56,-2.02,-2.02,-2.56,0.16,0.16,0.20,-0.58,0.20,-0.45,-1.04,-0.74,0.50,-12.06,-12.13,-11.98,-12.05,-0.29,-0.27,-0.32,-0.30
01/04/2022 05:30,Flow 2 [m^3/min],7.87,3.77,3.77,7.87,0.16,0.16,0.20,-0.58,0.20,-0.45,-1.04,-0.74,0.50,13.81,13.75,13.88,13.82,4.39,4.40,4.38,4.39
01/04/2022 06:00,Flow 1 [m^3/min],-2.93,-2.23,-2.23,-2.93,0.01,0.01,-0.05,-0.87,-0.05,-0.49,-1.33,-0.89,0.52,-11.83,-11.90,-11.75,-11.82,0.01,0.03,-0.02,0.00
01/04/2022 06:00,Flow 2 [m^3/min],7.75,3.69,3.69,7.75,0.02,0.02,-0.04,-0.87,-0.04,-0.49,-1.33,-0.89,0.52,14.00,13.94,14.07,14.02,4.52,4.53,4.51,4.52
01/04/2022 06:30,Flow 1 [m^3/min],-2.70,-2.13,-2.13,-2.70,0.09,0.09,0.10,-0.73,0.10,-0.49,-1.18,-0.83,0.52,-11.96,-12.02,-11.87,-11.94,-0.15,-0.12,-0.17,-0.15
01/04/2022 06:30,Flow 2 [m^3/min],7.81,3.72,3.72,7.81,0.09,0.09,0.10,-0.73,0.10,-0.49,-1.18,-0.83,0.51,13.90,13.84,13.97,13.91,4.45,4.46,4.44,4.45
01/04/2022 07:00,Flow 1 [m^3/min],-2.64,-2.09,-2.09,-2.64,0.11,0.11,0.14,-0.68,0.14,-0.49,-1.15,-0.80,0.51,-11.99,-12.06,-11.91,-11.98,-0.19,-0.17,-0.22,-0.19
01/04/2022 07:00,Flow 2 [m^3/min],7.82,3.74,3.74,7.82,0.11,0.11,0.14,-0.68,0.14,-0.49,-1.15,-0.80,0.51,13.87,13.81,13.94,13.89,4.43,4.44,4.42,4.43
