Date/Time,Property,Amb. To Zone 1,Amb. To Zone 3,Amb. To Zone 4 ,Amb. To Zone 2,Zone 3 to Zone 5,Zone 4 to Zone 5,Zone 1 to Zone 6,Zone 5 to Zone 6,Zone 2 to Zone 6,Ward LHS to Zone 6a (22),Zone 6a to Zone 6b(23),Zone 6b to Zone 6c (24),Zone 6c to Ward RHS (25),Zone 7 to Zone 6,Zone 8 to Zone 6,Zone 9 to Zone 6,Zone 10 to Zone 6,Amb. To Zone 7,Amb. To Zone 8,Amb. To Zone 9,Amb. To Zone 10
01/04/2022 00:00,Flow 1 [m^3/min],-12.78,-6.59,-6.59,-12.95,-25.14,-25.14,-37.10,-11.64,-37.22,-0.53,-11.70,-5.65,0.66,-0.74,-0.74,-0.77,-0.77,8.33,8.33,8.31,8.31
01/04/2022 00:00,Flow 2 [m^3/min],-9.56,-5.05,-5.05,-9.79,13.49,13.49,14.76,-11.64,14.48,-0.53,-11.70,-5.65,0.65,18.44,18.44,18.44,18.44,9.37,9.37,9.36,9.36
01/04/2022 00:30,Flow 1 [m^3/min],-12.39,-6.40,-6.40,-12.56,-25.02,-25.02,-36.91,-11.23,-37.02,-0.52,-11.28,-5.44,0.64,-1.36,-1.36,-1.38,-1.38,8.00,8.00,7.99,7.99
01/04/2022 00:30,Flow 2 [m^3/min],-9.13,-4.83,-4.83,-9.35,13.79,13.79,15.38,-11.23,15.11,-0.52,-11.28,-5.44,0.64,18.42,18.42,18.42,18.42,9.06,9.06,9.05,9.05
01/04/2022 01:00,Flow 1 [m^3/min],-12.01,-6.21,-6.21,-12.17,-24.90,-24.90,-36.70,-10.82,-36.81,-0.50,-10.86,-5.24,0.63,-1.95,-1.95,-1.97,-1.97,7.68,7.68,7.67,7.67
01/04/2022 01:00,Flow 2 [m^3/min],-8.70,-4.62,-4.62,-8.91,14.07,14.07,15.99,-10.82,15.73,-0.50,-10.86,-5.24,0.63,18.39,18.39,18.39,18.39,8.76,8.76,8.75,8.75
01/04/2022 01:30,Flow 1 [m^3/min],-10.80,-5.58,-5.58,-10.92,-24.32,-24.32,-35.71,-9.30,-35.82,-0.40,-9.23,-4.49,0.54,-4.00,-4.00,-4.01,-4.01,6.38,6.38,6.37,6.37
01/04/2022 01:30,Flow 2 [m^3/min],-6.86,-3.71,-3.71,-7.05,15.03,15.03,18.06,-9.30,17.85,-0.40,-9.23,-4.49,0.54,18.04,18.04,18.03,18.03,7.66,7.66,7.65,7.65
01/04/2022 02:00,Flow 1 [m^3/min],-8.94,-4.60,-4.60,-9.00,-23.15,-23.15,-33.43,-6.38,-33.57,-0.40,-6.14,-3.05,0.50,-7.41,-7.41,-7.41,-7.41,3.78,3.78,3.77,3.77
01/04/2022 02:00,Flow 2 [m^3/min],-2.54,-1.78,-1.78,-2.83,16.76,16.76,21.95,-6.38,21.74,-0.40,-6.14,-3.05,0.50,16.88,16.88,16.88,16.88,5.70,5.70,5.69,5.69
01/04/2022 02:30,Flow 1 [m^3/min],-5.21,-2.58,-2.58,-5.21,-19.87,-19.87,-27.65,0.67,-27.65,-0.40,0.23,0.39,0.51,-13.24,-13.24,-13.24,-13.24,-3.18,-3.18,-3.18,-3.18
01/04/2022 02:30,Flow 2 [m^3/min],6.47,3.25,3.25,6.47,20.54,20.54,28.91,0.67,28.91,-0.40,0.23,0.39,0.50,12.73,12.73,12.73,12.73,2.66,2.66,2.66,2.66
01/04/2022 03:00,Flow 1 [m^3/min],4.15,2.42,2.42,4.32,-16.17,-16.17,-20.54,7.42,-20.39,-0.45,6.47,3.68,0.54,-17.04,-17.04,-17.03,-17.03,-6.02,-6.02,-6.01,-6.01
01/04/2022 03:00,Flow 2 [m^3/min],9.69,5.00,5.00,9.76,23.59,23.59,34.39,7.42,34.48,-0.45,6.47,3.68,0.54,6.83,6.83,6.85,6.85,-4.19,-4.19,-4.18,-4.18
01/04/2022 03:30,Flow 1 [m^3/min],3.64,2.20,2.20,3.82,-16.33,-16.33,-20.91,7.14,-20.76,-0.50,6.11,3.53,0.57,-16.89,-16.89,-16.88,-16.88,-5.83,-5.83,-5.82,-5.82
01/04/2022 03:30,Flow 2 [m^3/min],9.59,4.94,4.94,9.65,23.47,23.47,34.14,7.14,34.23,-0.50,6.11,3.53,0.57,7.17,7.17,7.19,7.19,-3.88,-3.88,-3.87,-3.87
01/04/2022 04:00,Flow 1 [m^3/min],1.66,1.61,1.61,2.18,-16.76,-16.76,-22.24,6.39,-21.92,-0.55,4.96,3.08,0.60,-16.43,-16.43,-16.42,-16.42,-5.30,-5.30,-5.29,-5.29
