Date/Time,Property,Extract Zone 3,Extract Zone 4,Extract Zone 1,Extract Zone 5,Extract Zone 2,Extract Zone 6a,Extract Zone 6b,Extract Zone 6c,Extract Zone 7,Extract Zone 8,Extract Zone 9,Extract Zone 10
01/04/2022 00:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 00:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 00:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 00:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 01:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 01:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 01:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 01:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 02:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 02:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 02:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 02:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 03:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 03:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 03:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 03:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 04:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 04:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 04:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 04:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 05:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 05:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 05:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 05:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 06:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 06:00,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 06:30,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
01/04/2022 06:30,Flow 2 [m^3/min],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/2022 07:00,Flow 1 [m^3/min],2.84,2.84,9.82,3.62,9.82,3.18,3.18,3.18,4.72,5.04,4.34,4.64
