Date/Time,Ta[K],Pb[Pa],Ws[m / s],Wd[deg]
01/01/2021 00:00,275.35,98534,2.3,221
01/01/2021 01:00,275.35,98534,2.3,221
01/01/2021 02:00,274.25,100043,1,360
01/01/2021 03:00,274.65,100093,5.1,290
01/01/2021 04:00,274.55,100173,4.1,280
01/01/2021 05:00,275.15,100204,1,170
01/01/2021 06:00,275.65,100245,6.2,280
01/01/2021 07:00,275.45,100334,4.6,290
01/01/2021 08:00,275.15,100413,3.1,280
01/01/2021 09:00,275.45,100463,5.7,280
01/01/2021 10:00,275.35,100562,4.6,290
01/01/2021 11:00,276.35,100644,1,200
01/01/2021 12:00,277.65,100676,1.5,250
01/01/2021 13:00,277.65,100666,4.6,260
01/01/2021 14:00,277.05,100625,5.7,260
01/01/2021 15:00,277.45,100596,3.1,260
01/01/2021 16:00,277.45,100567,2.1,180
01/01/2021 17:00,276.75,100495,2.1,120
01/01/2021 18:00,276.15,100385,2.6,130
01/01/2021 19:00,275.85,100295,2.1,90
01/01/2021 20:00,275.35,100125,3.1,100
01/01/2021 21:00,275.25,99946,3.6,110
01/01/2021 22:00,275.45,99757,4.6,110
01/01/2021 23:00,275.05,99537,5.1,90
02/01/2021 00:00,275.25,99339,4.6,100
02/01/2021 01:00,274.95,99080,5.7,110
02/01/2021 02:00,273.95,98799,6.2,110
02/01/2021 03:00,274.05,98551,5.7,120
02/01/2021 04:00,274.55,98403,4.1,130
02/01/2021 05:00,275.15,98275,3.6,100
02/01/2021 06:00,275.45,98137,3.1,130
02/01/2021 07:00,276.25,98069,1,50
02/01/2021 08:00,278.75,98104,6.7,280
02/01/2021 09:00,279.35,98174,6.7,280
02/01/2021 10:00,279.65,98314,6.2,280
02/01/2021 11:00,279.65,98453,8.2,290
02/01/2021 12:00,280.05,98554,7.7,280
02/01/2021 13:00,280.75,98625,7.2,280
02/01/2021 14:00,281.15,98695,9.8,270
02/01/2021 15:00,281.35,98775,8.7,270
02/01/2021 16:00,280.95,98844,8.7,270
02/01/2021 17:00,280.45,98902,9.8,270
02/01/2021 18:00,280.05,98971,6.7,270
02/01/2021 19:00,279.85,99060,5.1,260
02/01/2021 20:00,279.55,99119,4.6,250
02/01/2021 21:00,279.45,99179,2.6,250
02/01/2021 22:00,279.15,99228,3.6,250
02/01/2021 23:00,279.05,99257,4.6,250
03/01/2021 00:00,278.75,99247,4.6,260
03/01/2021 01:00,278.05,99275,1.5,190
03/01/2021 02:00,277.75,99275,1.5,230
03/01/2021 03:00,277.35,99284,1.5,200
03/01/2021 04:00,276.95,99283,1,260
03/01/2021 05:00,277.85,99265,2.6,200
03/01/2021 06:00,276.45,99173,1.5,200
03/01/2021 07:00,276.55,99143,2.6,80
03/01/2021 08:00,276.65,99054,2.1,130
03/01/2021 09:00,276.85,99004,2.1,130
03/01/2021 10:00,277.25,98896,4.1,110
03/01/2021 11:00,276.75,98775,2.1,100
